,사용일자,이용자수
0,2020-01-06,102220681
1,2020-01-13,103335477
2,2020-01-20,74393692
3,2020-01-27,90327930
4,2020-02-03,86072063
5,2020-02-10,90571278
6,2020-02-17,82975470
7,2020-02-24,62063510
8,2020-03-02,61776202
9,2020-03-09,62400039
10,2020-03-16,64366657
11,2020-03-23,65721408
12,2020-03-30,66759693
13,2020-04-06,68814779
14,2020-04-13,65446547
15,2020-04-20,74613173
16,2020-04-27,65964754
17,2020-05-04,72960870
18,2020-05-11,77144666
19,2020-05-18,79551357
20,2020-05-25,79722874
21,2020-06-01,78105539
22,2020-06-08,79133995
23,2020-06-15,80207319
24,2020-06-22,80863994
25,2020-06-29,81794050
26,2020-07-06,81756627
27,2020-07-13,82114675
28,2020-07-20,81802297
29,2020-07-27,77758169
30,2020-08-03,78402885
31,2020-08-10,74312248
32,2020-08-17,67608756
33,2020-08-24,61327583
34,2020-08-31,58718742
35,2020-09-07,64734921
36,2020-09-14,72373762
37,2020-09-21,76535602
38,2020-09-28,49486653
39,2020-10-05,73893509
40,2020-10-12,82638253
41,2020-10-19,84734800
42,2020-10-26,85343585
43,2020-11-02,85782443
44,2020-11-09,86140643
45,2020-11-16,80296073
46,2020-11-23,72254538
47,2020-11-30,70067091
48,2020-12-07,64563444
49,2020-12-14,60754901
50,2020-12-21,55134463
51,2020-12-28,51570199
52,2021-01-04,63917822
53,2021-01-11,68035900
54,2021-01-18,70630023
55,2021-01-25,71927144
56,2021-02-01,75064059
57,2021-02-08,55231775
58,2021-02-15,76967260
59,2021-02-22,72550039
60,2021-03-01,80943920
61,2021-03-08,81908117
62,2021-03-15,81873659
63,2021-03-22,81892370
64,2021-03-29,82281247
65,2021-04-05,83008512
66,2021-04-12,81237558
67,2021-04-19,82534915
68,2021-04-26,82552106
69,2021-05-03,75950191
70,2021-05-10,82530302
71,2021-05-17,79252625
72,2021-05-24,82489365
73,2021-05-31,82278224
74,2021-06-07,81831295
75,2021-06-14,83314594
76,2021-06-21,84343695
77,2021-06-28,82347649
78,2021-07-05,76498944
79,2021-07-12,68412969
80,2021-07-19,68154499
81,2021-07-26,66751897
82,2021-08-02,67682323
83,2021-08-09,66119740
84,2021-08-16,71444877
85,2021-08-23,74029978
86,2021-08-30,75900938
87,2021-09-06,77693317
88,2021-09-13,70231610
89,2021-09-20,61148199
